year,avg_temp
1743,-1.07
1744,3.90
1745,-5.97
1746,
1747,
1748,
1749,
1750,3.57
1751,3.06
1752,-2.24
1753,2.15
1754,2.18
1755,1.80
1756,2.31
1757,2.52
1758,1.45
1759,2.64
1760,1.75
1761,2.97
1762,1.90
1763,1.91
1764,2.13
1765,1.45
1766,2.93
1767,1.66
1768,1.73
1769,2.03
1770,1.80
1771,1.50
1772,1.73
1773,2.99
1774,1.42
1775,3.38
1776,2.27
1777,1.85
1778,2.36
1779,3.98
1780,2.20
1781,3.04
1782,1.32
1783,2.85
1784,0.61
1785,1.33
1786,1.08
1787,2.30
1788,1.83
1789,2.70
1790,2.72
1791,2.89
1792,2.51
1793,2.49
1794,3.28
1795,1.55
1796,2.70
1797,3.39
1798,3.33
1799,0.92
1800,1.72
1801,2.35
1802,2.02
1803,1.62
1804,1.75
1805,1.06
1806,2.13
1807,1.86
1808,1.92
1809,1.57
1810,1.59
1811,2.99
1812,0.90
1813,2.46
1814,1.11
1815,2.21
1816,1.36
1817,2.09
1818,2.72
1819,2.67
1820,1.61
1821,2.31
1822,3.74
1823,2.07
1824,2.95
1825,3.09
1826,3.65
1827,2.00
1828,2.59
1829,1.01
1830,1.90
1831,2.67
1832,2.79
1833,2.49
1834,3.27
1835,2.35
1836,1.43
1837,1.61
1838,0.47
1839,1.47
1840,1.87
1841,1.72
1842,3.18
1843,2.34
1844,1.04
1845,1.66
1846,3.32
1847,2.21
1848,1.81
1849,1.45
1850,1.75
1851,2.24
1852,2.65
1853,1.94
1854,2.72
1855,1.07
1856,1.24
1857,3.06
1858,2.96
1859,2.94
1860,1.04
1861,2.50
1862,1.80
1863,3.18
1864,1.34
1865,1.97
1866,2.21
1867,0.71
1868,3.01
1869,1.78
1870,1.57
1871,0.93
1872,3.08
1873,2.85
1874,2.47
1875,1.30
1876,1.48
1877,1.03
1878,2.69
1879,1.35
1880,2.45
1881,0.79
1882,2.92
1883,2.55
1884,2.82
1885,1.68
1886,1.84
1887,2.30
1888,0.80
1889,2.78
1890,2.65
1891,2.46
1892,1.43
1893,1.95
1894,3.31
1895,1.64
1896,2.97
1897,2.51
1898,2.54
1899,2.25
1900,1.65
1901,2.74
1902,1.16
1903,2.41
1904,1.93
1905,2.50
1906,2.99
1907,2.16
1908,2.64
1909,1.54
1910,2.98
1911,3.06
1912,2.43
1913,3.25
1914,3.49
1915,0.85
1916,2.52
1917,1.65
1918,2.48
1919,1.60
1920,3.00
1921,2.89
1922,1.55
1923,1.39
1924,2.28
1925,2.57
1926,2.50
1927,1.88
1928,1.77
1929,2.12
1930,3.80
1931,1.81
1932,3.22
1933,3.34
1934,4.23
1935,2.97
1936,3.06
1937,2.90
1938,3.96
1939,2.88
1940,1.44
1941,1.37
1942,1.17
1943,3.34
1944,2.88
1945,3.29
1946,2.94
1947,2.22
1948,3.01
1949,3.92
1950,2.61
1951,2.61
1952,1.69
1953,3.78
1954,2.24
1955,2.39
1956,1.88
1957,2.86
1958,1.92
1959,3.60
1960,2.49
1961,3.39
1962,1.69
1963,1.76
1964,2.60
1965,1.80
1966,1.42
1967,2.76
1968,2.02
1969,2.12
1970,1.54
1971,3.24
1972,3.00
1973,3.24
1974,3.63
1975,4.01
1976,2.49
1977,2.40
1978,2.05
1979,1.26
1980,1.81
1981,1.82
1982,2.97
1983,3.59
1984,3.21
1985,0.98
1986,2.05
1987,1.32
1988,3.30
1989,4.39
1990,4.55
1991,3.40
1992,3.83
1993,2.72
1994,2.74
1995,3.08
1996,1.88
1997,3.87
1998,3.06
1999,3.73
2000,4.52
2001,2.68
2002,3.57
2003,3.76
2004,3.79
2005,4.26
2006,4.43
2007,3.96
2008,4.16
2009,3.31
2010,1.30
2011,4.14
2012,3.09
2013,3.50
